"ITTER107","Territorio","TIPO_DATO2","Tipo indice","MISURA1","Misura","TYPPURCH","Abitazioni compravendute","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","ALL","H1 - tutte le voci","2010-Q2","T2-2010",117.9,,
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","ALL","H1 - tutte le voci","2010-Q1","T1-2010",116.8,,
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","ALL","H1 - tutte le voci","2010-Q4","T4-2010",118.9,,
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","ALL","H1 - tutte le voci","2010-Q3","T3-2010",118.8,,
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","ALL","H1 - tutte le voci","2011-Q1","T1-2011",118.3,,
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","ALL","H1 - tutte le voci","2011-Q2","T2-2011",120.7,,
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","ALL","H1 - tutte le voci","2011-Q4","T4-2011",119.5,,
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","ALL","H1 - tutte le voci","2011-Q3","T3-2011",120.3,,
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","ALL","H1 - tutte le voci","2012-Q2","T2-2012",118.1,,
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","ALL","H1 - tutte le voci","2012-Q1","T1-2012",119,,
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","ALL","H1 - tutte le voci","2012-Q4","T4-2012",113.6,,
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","ALL","H1 - tutte le voci","2012-Q3","T3-2012",115.9,,
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","ALL","H1 - tutte le voci","2013-Q1","T1-2013",110.5,,
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","ALL","H1 - tutte le voci","2013-Q2","T2-2013",110.2,,
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","ALL","H1 - tutte le voci","2013-Q4","T4-2013",107.1,,
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","ALL","H1 - tutte le voci","2013-Q3","T3-2013",108.6,,
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","ALL","H1 - tutte le voci","2014-Q2","T2-2014",104.7,,
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","ALL","H1 - tutte le voci","2014-Q1","T1-2014",105.7,,
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","ALL","H1 - tutte le voci","2014-Q4","T4-2014",101.9,,
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","ALL","H1 - tutte le voci","2014-Q3","T3-2014",103.5,,
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","ALL","H1 - tutte le voci","2015-Q1","T1-2015",99.7,,
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","ALL","H1 - tutte le voci","2015-Q2","T2-2015",99.8,,
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","ALL","H1 - tutte le voci","2015-Q4","T4-2015",99.8,,
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","ALL","H1 - tutte le voci","2015-Q3","T3-2015",100.7,,
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","ALL","H1 - tutte le voci","2016-Q2","T2-2016",100.5,,
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","ALL","H1 - tutte le voci","2016-Q1","T1-2016",99.8,,
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","ALL","H1 - tutte le voci","2016-Q4","T4-2016",100,,
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","ALL","H1 - tutte le voci","2016-Q3","T3-2016",100.7,,
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","ALL","H1 - tutte le voci","2017-Q1","T1-2017",99.1,,
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","ALL","H1 - tutte le voci","2017-Q2","T2-2017",99.6,,
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","ALL","H1 - tutte le voci","2017-Q4","T4-2017",98.8,,
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","ALL","H1 - tutte le voci","2017-Q3","T3-2017",99.2,,
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","ALL","H1 - tutte le voci","2018-Q2","T2-2018",99.2,,
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","ALL","H1 - tutte le voci","2018-Q1","T1-2018",98.6,,
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","ALL","H1 - tutte le voci","2018-Q4","T4-2018",98.3,,
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","ALL","H1 - tutte le voci","2018-Q3","T3-2018",98.4,,
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","ALL","H1 - tutte le voci","2019-Q1","T1-2019",97.7,,
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","ALL","H1 - tutte le voci","2019-Q2","T2-2019",99.1,"r","dato aggiornato"
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","ALL","H1 - tutte le voci","2019-Q4","T4-2019",98.5,,
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","ALL","H1 - tutte le voci","2019-Q3","T3-2019",98.8,,
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","ALL","H1 - tutte le voci","2020-Q2","T2-2020",102.4,,
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","ALL","H1 - tutte le voci","2020-Q1","T1-2020",99.4,,
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","ALL","H1 - tutte le voci","2020-Q3","T3-2020",99.8,,
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","ALL","H1 - tutte le voci","2020-Q4","T4-2020",100,,
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","ALL","H1 - tutte le voci","2021-Q1","T1-2021",101.1,,
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","ALL","H1 - tutte le voci","2021-Q2","T2-2021",102.8,,
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","ALL","H1 - tutte le voci","2021-Q3","T3-2021",103.9,,
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","ALL","H1 - tutte le voci","2021-Q4","T4-2021",104,,
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","ALL","H1 - tutte le voci","2022-Q1","T1-2022",105.7,,
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","ALL","H1 - tutte le voci","2022-Q2","T2-2022",108.1,,
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","ALL","H1 - tutte le voci","2022-Q3","T3-2022",106.9,,
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","ALL","H1 - tutte le voci","2022-Q4","T4-2022",106.9,"p","dato provvisorio"
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","NEW_DW","H11 - abitazioni nuove","2010-Q2","T2-2010",99.9,,
